candidate_index,q,w,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,exact_residual_bits,exact_observed_pairs,exact_edge_density,exact_agreement_fraction,exact_left_class_sizes,exact_right_class_sizes,label_entropy_bits,label_balance,source_entropy_bits,left_entropy_bits,right_entropy_bits,source_to_label_mi_bits,source_to_label_mi_norm_capacity,source_to_label_mi_over_label_entropy,label_to_left_mi_bits,label_to_right_mi_bits,source_to_left_mi_bits,source_to_right_mi_bits,one_step_label_persistence_mi_bits,one_step_label_persistence_norm,one_step_label_valid_fraction,one_step_label_conservation_fraction,one_step_label_match_given_valid,one_step_label_valid_mi_bits,one_step_label_valid_norm,live_common_factor,live_threshold,mutation_summary,mutation_survival_at_max_rate,mutation_residual_at_max_rate,saved_approx_residual_qcoords,saved_approx_quality_score,saved_exact_residual_qcoords,saved_blind_fitness,saved_blind_fitness_stage,saved_search_mode,saved_run,saved_generation,saved_candidate,saved_target_mode,saved_proposal_mode,saved_fitness_mode,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles
0,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7809473750504811, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.88}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5343458750793271, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3143458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.44}]",0.44,0.3143458750793272,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,50,1200,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
1,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7843458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.88}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.4967970000576925, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.62}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.2992481250360578, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.2992481250360578,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,49,1176,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
2,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7835940001153849, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.9}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5584962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.7}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3209473750504809, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.52}]",0.52,0.3209473750504809,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,48,1152,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
3,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7343458750793271, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.84}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.4767970000576925, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.64}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3043458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.42}]",0.42,0.3043458750793272,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,47,1128,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
4,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.8377443751081735, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.94}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.4667970000576924, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.62}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3109473750504809, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.3109473750504809,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,46,1104,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
5,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9929399035913808,0.9964699517956904,0.954434002924965,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.05777197155746139,0.05797663186266009,1.9929399035913808,1.9929399035913808,0.11554394311492278,0.11554394311492278,0.5988429229352596,0.30585993698198416,0.5073529411764706,0.25980392156862747,0.5120772946859904,0.9662176490977359,0.509417150813602,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.770947375050481, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.88}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5933985000288462, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.72}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.35679700005769244, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.54}]",0.54,0.35679700005769244,1.0,1.0000009964699519,1.0,1.0000010000009965,exact,evolve,4,45,1088,interface,mixed,two_stage,0.2902194534210113,0.5804389068420226,0.6375,1.0466917186688698,1.6271306255108926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
6,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.8084962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.94}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.593594000115385, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.76}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.36094737505048097, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.52}]",0.52,0.36094737505048097,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,50,1201,interface,mixed,two_stage,0.25163258222565604,0.5032651644513121,0.6,1.1061278124459133,1.6093929768972253,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
7,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7960451250937504, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.96}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5660451250937503, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3743458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.54}]",0.54,0.3743458750793272,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,50,1202,interface,mixed,two_stage,0.25199521653905266,0.5039904330781053,0.6,1.1311278124459132,1.6351182455240185,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
8,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7401955000865388, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.86}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.6435940001153849, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.29434587507932725, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.4}]",0.4,0.29434587507932725,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,49,1177,interface,mixed,two_stage,0.25163258222565604,0.5032651644513121,0.6,1.1061278124459133,1.6093929768972253,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
9,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7843458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.94}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.6535940001153849, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.82}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3167970000576925, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.3167970000576925,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,49,1178,interface,mixed,two_stage,0.25199521653905266,0.5039904330781053,0.6,1.1311278124459132,1.6351182455240185,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
10,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7243458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.82}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.6660451250937505, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3367970000576925, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.3367970000576925,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,48,1153,interface,mixed,two_stage,0.25163258222565604,0.5032651644513121,0.6,1.1061278124459133,1.6093929768972253,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
11,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7877443751081734, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.94}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5543458750793272, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.26509775004326935, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.44}]",0.44,0.26509775004326935,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,48,1154,interface,mixed,two_stage,0.25199521653905266,0.5039904330781053,0.6,1.1311278124459132,1.6351182455240185,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
12,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7977443751081735, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.88}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5501955000865387, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.68}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.29094737505048096, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.44}]",0.44,0.29094737505048096,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,47,1129,interface,mixed,two_stage,0.25163258222565604,0.5032651644513121,0.6,1.1061278124459133,1.6093929768972253,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
13,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.8118947501009619, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.92}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5784962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.8}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.3401955000865387, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.5}]",0.5,0.3401955000865387,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,47,1137,interface,mixed,two_stage,0.25199521653905266,0.5039904330781053,0.6,1.1311278124459132,1.6351182455240185,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
14,4,1,2,2,2,2,4,1.0,2.0,4,0.25,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.9811910488221647,0.9905955244110823,0.954434002924965,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.03574662895888614,0.03608599885421229,1.9811910488221647,1.9811910488221647,0.07149325791777228,0.07149325791777228,1.1287007910961533,0.5700886926491499,0.7326388888888888,0.5833333333333334,0.7962085308056872,1.2958723464092659,0.6644754995827133,False,0.25,"[{""mutation_rate"": 0.0, ""mutation_exact_residual_mean"": 1.0, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 1.0}, {""mutation_rate"": 0.02, ""mutation_exact_residual_mean"": 0.7984962500721156, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.9}, {""mutation_rate"": 0.05, ""mutation_exact_residual_mean"": 0.5201955000865387, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.68}, {""mutation_rate"": 0.1, ""mutation_exact_residual_mean"": 0.36094737505048097, ""mutation_exact_residual_max"": 1.0, ""mutation_selection_fraction"": 0.54}]",0.54,0.36094737505048097,1.0,1.0000009905955245,1.0,1.0000010000009907,exact,evolve,4,46,1114,interface,mixed,two_stage,0.25163258222565604,0.5032651644513121,0.6,1.1061278124459133,1.6093929768972253,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]"
