q,w,nx,ny,ensemble,p_flip,mutation_rate,instances,loop_a,loop_b,area,perimeter,n_loop_samples,mean_W,abs_mean_W,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts
4,1,4,4,c2link,0.1,0.0,100,1,1,1,4,1600,0.26625,0.26625,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,2,2,6,1200,0.11666666666666667,0.11666666666666667,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,3,3,8,800,0.09,0.09,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,4,4,10,400,0.005,0.005,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,1,2,6,1200,0.43833333333333335,0.43833333333333335,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,2,4,8,900,0.2511111111111111,0.2511111111111111,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,3,6,10,600,0.15,0.15,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,4,8,12,300,0.11333333333333333,0.11333333333333333,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,1,3,8,800,0.1225,0.1225,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,2,6,10,600,0.0033333333333333335,0.0033333333333333335,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,3,9,12,400,0.015,0.015,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,4,12,14,200,-0.01,0.01,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,1,4,10,400,0.165,0.165,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,2,8,12,300,0.13333333333333333,0.13333333333333333,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,3,12,14,200,0.06,0.06,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,4,16,16,100,0.02,0.02,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.3,0.0,100,1,1,1,4,1600,-0.0125,0.0125,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,2,2,6,1200,0.01,0.01,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,3,3,8,800,-0.035,0.035,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,4,4,10,400,0.02,0.02,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,2,1,2,6,1200,0.03166666666666667,0.03166666666666667,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,2,2,4,8,900,-0.042222222222222223,0.042222222222222223,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,2,3,6,10,600,0.03666666666666667,0.03666666666666667,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,2,4,8,12,300,0.03333333333333333,0.03333333333333333,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,3,1,3,8,800,-0.0075,0.0075,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,3,2,6,10,600,0.11666666666666667,0.11666666666666667,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,3,3,9,12,400,-0.035,0.035,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,3,4,12,14,200,0.11,0.11,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,4,1,4,10,400,-0.01,0.01,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,4,2,8,12,300,0.05333333333333334,0.05333333333333334,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,4,3,12,14,200,0.06,0.06,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,4,4,16,16,100,0.16,0.16,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.5,0.0,100,1,1,1,4,1600,0.01625,0.01625,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,1,2,2,6,1200,0.0016666666666666668,0.0016666666666666668,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,1,3,3,8,800,-0.0475,0.0475,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,1,4,4,10,400,-0.045,0.045,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,2,1,2,6,1200,-0.005,0.005,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,2,2,4,8,900,-0.013333333333333334,0.013333333333333334,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,2,3,6,10,600,-0.03333333333333333,0.03333333333333333,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,2,4,8,12,300,-0.03333333333333333,0.03333333333333333,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,3,1,3,8,800,-0.0325,0.0325,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,3,2,6,10,600,-0.04666666666666667,0.04666666666666667,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,3,3,9,12,400,0.03,0.03,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,3,4,12,14,200,0.01,0.01,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,4,1,4,10,400,-0.015,0.015,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,4,2,8,12,300,0.06,0.06,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,4,3,12,14,200,-0.01,0.01,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,c2link,0.5,0.0,100,4,4,16,16,100,-0.02,0.02,1.0,1.0,0.491875,"{""cycle_2"": 787, ""identity"": 813}","{""C2"": 1382, ""trivial"": 218}"
4,1,4,4,copy,0.0,0.0,100,1,1,1,4,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,1,2,2,6,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,1,3,3,8,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,1,4,4,10,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,2,1,2,6,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,2,2,4,8,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,2,3,6,10,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,2,4,8,12,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,3,1,3,8,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,3,2,6,10,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,3,3,9,12,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,3,4,12,14,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,4,1,4,10,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,4,2,8,12,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,4,3,12,14,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,copy,0.0,0.0,100,4,4,16,16,0,,,1.0,0.0,0.0,"{""identity"": 1600}","{""trivial"": 1600}"
4,1,4,4,permutive,0.0,0.0,100,1,1,1,4,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,1,2,2,6,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,1,3,3,8,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,1,4,4,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,2,1,2,6,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,2,2,4,8,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,2,3,6,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,2,4,8,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,1,3,8,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,2,6,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,3,9,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,4,12,14,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,1,4,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,2,8,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,3,12,14,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,4,16,16,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,random,0.0,0.0,100,1,1,1,4,3,-0.3333333333333333,0.3333333333333333,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,2,2,6,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,3,3,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,4,4,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,1,2,6,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,2,4,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,3,6,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,4,8,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,1,3,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,2,6,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,3,9,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,4,12,14,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,1,4,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,2,8,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,3,12,14,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
