graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
0,2,1,13,2 11 15 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
0,1,0,2 9 17,5,3,4,2.0,1.0,1.9242036624488854,1.0,1.0,1
1,1,0,7,4,1,4,2.0,1.0,2.0,1.0,1.0,1
2,1,0,0,3 4 17,3,1,0.0,0.0,-0.0,0.0,1.0,0
3,1,0,8,3 15 17,3,1,0.0,0.0,-0.0,0.0,1.0,0
4,1,0,11,5 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
5,1,0,7,4 6 11,3,1,0.0,0.0,-0.0,0.0,1.0,0
6,1,0,6,0,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
9,2,1,11,1 10 15,3,1,0.0,0.0,-0.0,0.0,1.0,0
9,1,0,5 9 16,14,3,4,2.0,1.0,1.997180398894264,1.0,1.0,1
10,2,1,0,4 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
10,3,1,12,8 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
10,1,0,3 5 13,16,3,1,0.0,0.0,-0.0,0.0,1.0,0
10,3,0,12,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
11,2,1,9,5 12 14,3,1,0.0,0.0,-0.0,0.0,1.0,0
11,1,0,1 2 14,10,3,4,2.0,1.0,1.9588815711073062,1.0,1.0,1
14,6,2,17,1 3 14,3,1,0.0,0.0,-0.0,0.0,1.0,0
14,3,2,15,3 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
14,4,2,2 12,7 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
14,2,1,0 5,8,2,1,0.0,0.0,-0.0,0.0,1.0,0
14,4,1,12,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
14,2,0,3,10,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
14,4,3,2,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
14,5,3,13,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,8,2,11,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,9,2,16,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,6,5,0,2,1,4,2.0,1.0,2.0,1.0,1.0,1
15,7,2,6,3 5,2,1,0.0,0.0,-0.0,0.0,1.0,0
15,4,2,15,3 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
15,3,0,7,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,2,0,10,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,1,0,12,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,8,3,11,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,4,3,15,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,3,2,7,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,6,2,0,9 10 14,3,1,0.0,0.0,-0.0,0.0,1.0,0
15,5,2,2,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,2,1,1,12,1,2,1.0,0.5,0.8112781244591328,1.0,1.0,1
15,5,4,2,15,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
16,1,0,12 13 16,7,3,4,2.0,1.0,1.990360146900588,1.0,1.0,1
16,2,1,3,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
17,2,1,6,1 5,2,1,0.0,0.0,-0.0,0.0,1.0,0
17,1,0,0 15 16,2,3,4,2.0,1.0,1.9411292922511936,1.0,1.0,1
18,2,1,4,2 7 10,3,1,0.0,0.0,-0.0,0.0,1.0,0
18,1,0,9 14 16,12,3,4,2.0,1.0,1.9663387708930167,1.0,1.0,1
20,8,1,4,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,4,1,6,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,11,9,11,1,1,2,1.0,0.5,1.0,1.0,1.0,1
20,7,5,7,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,5,13,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,1,0,0,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,4,0,6,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,6,0,10,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,10,8,5,4 9 12,3,1,0.0,0.0,-0.0,0.0,1.0,0
20,11,8,11,4 12,2,1,0.0,0.0,-0.0,0.0,1.0,0
20,12,10,16,5,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
20,5,4,2,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,4,9,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,7,12,7,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
20,9,3,1,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,10,3,5,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,3,12,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,7,6,7,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,6,13,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,9,8,1,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,12,8,16,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,3,2,8,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,6,2,10,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,8,2,13,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
21,5,4,13,1 2 4 6,4,1,0.0,0.0,-0.0,0.0,1.0,0
21,4,0,1 5 11,7,3,4,2.0,1.0,1.9078900545311064,1.0,1.0,1
21,4,3,15,10,1,2,1.0,0.5,1.0,1.0,1.0,1
21,4,2,9 11 14,12,3,4,2.0,1.0,1.9809837333540972,1.0,1.0,1
21,2,1,12,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
21,4,1,17,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
23,4,3,15,0 14 16 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
23,3,1,1 10 11,4,3,1,0.0,0.0,-0.0,0.0,1.0,0
23,4,1,15,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
23,3,2,2 9,5,2,4,2.0,1.0,1.5016144718101818,1.0,1.0,1
23,3,0,6 8,7,2,4,2.0,1.0,1.8802408149441479,1.0,1.0,1
25,2,0,2 6 8 15,5,4,4,2.0,1.0,1.9985021407465684,1.0,1.0,1
25,2,1,0 7 16,14,3,4,2.0,1.0,1.9815944058432746,1.0,1.0,1
26,2,0,1 6,0,2,4,2.0,1.0,1.9056390622295665,1.0,1.0,1
26,4,2,7,1 10 16 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
26,3,2,4,2 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
26,2,1,2 11 13 14,9,4,4,2.0,1.0,1.997630419050005,1.0,1.0,1
27,1,0,8,1 6 9 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
27,2,0,12,2 4 7 9 14,5,1,0.0,0.0,-0.0,0.0,1.0,0
27,3,0,15,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
28,3,1,9 13 15 16,1,4,4,2.0,1.0,1.995170489455416,1.0,1.0,1
28,3,2,0 9,5,2,4,2.0,1.0,1.936278124459133,1.0,1.0,1
28,3,0,7,10,1,4,2.0,1.0,2.0,1.0,1.0,1
29,4,3,8,1,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
29,4,0,2 9,3,2,4,2.0,1.0,1.9237949406953985,1.0,1.0,1
29,4,1,13 15 16,4,3,4,2.0,1.0,1.9958536266528564,1.0,1.0,1
29,4,2,5 8 16,10,3,4,2.0,1.0,1.9525533134947037,1.0,1.0,1
30,3,2,13,0 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
30,2,1,2 9,12,2,4,2.0,1.0,1.9056390622295665,1.0,1.0,1
30,2,0,2 7 16,17,3,4,2.0,1.0,1.953565241622238,1.0,1.0,1
31,2,1,3,0 12,2,1,0.0,0.0,-0.0,0.0,1.0,0
31,1,0,0 9,16,2,4,2.0,1.0,1.811278124459133,1.0,1.0,1
32,3,2,0,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
32,3,1,0,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
32,2,1,1 3 17,8,3,1,0.0,0.0,-0.0,0.0,1.0,0
32,2,0,2 6 15,11,3,4,2.0,1.0,1.9815944058432746,1.0,1.0,1
33,3,0,10,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
33,1,0,11 17,0,2,1,0.0,0.0,-0.0,0.0,1.0,0
33,2,1,1,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
33,3,1,10,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
34,3,2,11,1 4 6 14,4,1,0.0,0.0,-0.0,0.0,1.0,0
34,2,0,0 6,5,2,1,0.0,0.0,-0.0,0.0,1.0,0
34,3,0,11,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
34,2,1,8,7,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
34,4,3,12,11,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
34,4,2,12,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
37,2,0,17,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
37,1,0,10,11 12,2,1,0.0,0.0,-0.0,0.0,1.0,0
38,4,3,11,5 12,2,1,0.0,0.0,-0.0,0.0,1.0,0
38,3,0,9 15,7,2,4,2.0,1.0,1.8828560636920488,1.0,1.0,1
38,3,1,4 12 16,8,3,1,0.0,0.0,-0.0,0.0,1.0,0
38,2,1,13,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
38,3,2,3 5,13,2,4,2.0,1.0,1.771782221599798,1.0,1.0,1
39,3,2,12,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
39,2,0,14,5,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
39,2,1,7 14,16,2,4,2.0,1.0,1.9237949406953985,1.0,1.0,1
40,1,0,9,5 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
41,4,3,15,1 10 12,3,1,0.0,0.0,-0.0,0.0,1.0,0
41,6,4,9,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,3,2,0 7 11 12,3 6,5,1,0.0,0.0,-0.0,0.0,1.0,0
41,4,0,2,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,1,0,5,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,2,0,6,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,3,0,12,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,2,1,3,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,3,1,11,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,5,2,17,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,6,5,9,17,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
42,5,3,14,0,1,2,1.0,0.5,1.0,1.0,1.0,1
42,6,5,4,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,3,1,0,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,5,1,2,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,7,1,15,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,3,2,0,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,5,2,6 16,7,2,1,0.0,0.0,-0.0,0.0,1.0,0
42,6,0,4,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,1,0,5,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,5,4,10,11,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
43,1,0,1,3 8,2,1,0.0,0.0,-0.0,0.0,1.0,0
44,1,0,1,6 7,2,1,0.0,0.0,-0.0,0.0,1.0,0
44,3,0,12,6 7 10 16,4,1,0.0,0.0,-0.0,0.0,1.0,0
44,2,0,5,9 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
45,1,0,0 10,1,2,4,2.0,1.0,1.8496017527145812,1.0,1.0,1
45,2,1,12,4 8 14 16 17,5,1,0.0,0.0,-0.0,0.0,1.0,0
46,2,0,7,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
46,1,0,10,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
46,2,1,7,10,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
47,3,0,3 5 6 10,2,4,4,2.0,1.0,1.9944753110147235,1.0,1.0,1
47,3,1,4 5 17,7,3,4,2.0,1.0,1.9898244583898188,1.0,1.0,1
47,3,2,5 11,16,2,4,2.0,1.0,1.9237949406953985,1.0,1.0,1
49,5,4,1 11 13 14,0,4,4,2.0,1.0,1.9776915280288603,1.0,1.0,1
49,5,0,7 13,2,2,1,0.0,0.0,-0.0,0.0,1.0,0
49,3,0,16,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,2,1,12,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,5,1,15,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,5,2,3,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,3,2,16,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,4,3,0,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,6,3,5,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
49,5,3,15,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
50,1,0,7,1 9 13,3,1,0.0,0.0,-0.0,0.0,1.0,0
50,2,0,8,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
51,5,0,0 3 15 17,2,4,4,2.0,1.0,1.993997426325326,1.0,1.0,1
51,7,5,5,3 12,2,1,0.0,0.0,-0.0,0.0,1.0,0
51,8,5,6,4 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
51,8,7,6,5,1,2,1.0,0.5,0.8112781244591328,1.0,1.0,1
51,6,5,8,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
51,7,6,5,8,1,2,1.0,0.5,1.0,1.0,1.0,1
51,5,3,3,9,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
51,5,2,0 3,10,2,1,0.0,0.0,-0.0,0.0,1.0,0
51,7,2,5,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
51,3,2,9,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
51,2,1,10,11,1,2,1.0,0.5,1.0,1.0,1.0,1
51,5,4,0 17,13,2,4,2.0,1.0,1.936278124459133,1.0,1.0,1
51,9,5,16,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
52,1,0,12,0 3 6 13 14 16,6,1,0.0,0.0,-0.0,0.0,1.0,0
53,2,1,3,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
53,1,0,5 11 14,12,3,4,2.0,1.0,1.9956764763856563,1.0,1.0,1
54,1,0,15 17,7,2,4,2.0,1.0,1.9772170014624824,1.0,1.0,1
55,2,0,8 17,3 4 7 13,4,1,0.0,0.0,-0.0,0.0,1.0,0
55,3,0,6,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
55,3,2,6,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
57,2,0,10 11 15,4,3,4,2.0,1.0,1.9929399035913806,1.0,1.0,1
57,2,1,0 1 12 14,16,4,4,2.0,1.0,1.99807792754994,1.0,1.0,1
58,1,0,1,2 5 8 15,4,1,0.0,0.0,-0.0,0.0,1.0,0
58,2,0,11,10 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
59,4,1,0 8,1,2,1,0.0,0.0,-0.0,0.0,1.0,0
59,5,1,11,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
59,6,4,3,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
59,4,2,4 10 12,5,3,4,2.0,1.0,1.9402087356672437,1.0,1.0,1
59,4,0,0 2,7,2,1,0.0,0.0,-0.0,0.0,1.0,0
59,1,0,1,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
59,6,0,3,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
59,4,3,0 8,9,2,4,2.0,1.0,1.9772170014624826,1.0,1.0,1
59,6,5,3,11,1,2,1.0,0.5,0.8112781244591328,1.0,1.0,1
60,1,0,2,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,0,5,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,3,0,17,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,4,1,3,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,1,6,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,10,4,11,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,5,4,15,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,7,2,7,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,2,9 14,4,2,1,0.0,0.0,-0.0,0.0,1.0,0
60,10,8,11,6 14 16,3,1,0.0,0.0,-0.0,0.0,1.0,0
60,9,7,10,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,10,7,11,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,7,16,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,6,14,8,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
60,9,8,10,9 13,2,1,0.0,0.0,-0.0,0.0,1.0,0
