classes_by_vertex,vertex_costs_qcoords,quotient_dim_qcoords,quotient_cost_qcoords,quotient_cost_bits,collapsed_vertices,fully_collapsed_vertices,cost_B_qcoords,cost_B_bits,cost_C_qcoords,cost_C_bits,cost_D_qcoords,cost_D_bits,cost_A_qcoords,cost_A_bits,cost_A_panel_qcoords,cost_A_panel_bits,constraint_mode,initial_pool,observer_init,close_admissibility,kB,kC,kD,kA,kM,k_total,q,w,n_initial_states,n_schedules,branch_order_seed_merges,sink_seed_merges,strict_schedule_seed_merges,admissibility_merges,admissibility_iterations,extra_B,extra_C,extra_D,extra_A,seed,instance
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12046,10
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12046,10
"[3, 2, 2, 3, 1, 3, 1, 1, 1]","[0.20751874963942185, 0.5, 0.5, 0.20751874963942185, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",3.3774437510817346,5.622556248918266,11.245112497836532,9,4,0.7075187496394219,1.4150374992788437,0.7075187496394219,1.4150374992788437,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,19,0,1,2,2,2,3,12046,10
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12047,11
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12047,11
"[3, 2, 1, 2, 1, 2, 1, 1, 1]","[0.20751874963942185, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,0.7075187496394219,1.4150374992788437,1.5,3.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,20,2,2,2,2,2,3,12047,11
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12048,12
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12048,12
"[2, 3, 2, 2, 1, 2, 1, 1, 1]","[0.5, 0.20751874963942185, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.792481250360578,6.207518749639422,12.415037499278844,9,4,0.7075187496394219,1.4150374992788437,1.0,2.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,20,1,2,2,2,2,3,12048,12
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12049,13
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12049,13
"[3, 1, 2, 2, 1, 2, 1, 1, 1]","[0.20751874963942185, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,1.207518749639422,2.415037499278844,1.0,2.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,22,0,1,2,2,2,3,12049,13
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12050,14
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12050,14
"[3, 3, 1, 1, 1, 1, 1, 1, 1]","[0.20751874963942185, 0.20751874963942185, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.5849625007211563,7.415037499278844,14.830074998557688,9,7,0.4150374992788437,0.8300749985576875,2.0,4.0,2.0,4.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,23,0,1,2,2,2,3,12050,14
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12051,15
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12051,15
"[2, 2, 1, 2, 1, 3, 1, 1, 1]","[0.5, 0.5, 1.0, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,1.0,2.0,1.5,3.0,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,22,0,1,2,2,2,3,12051,15
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12052,16
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12052,16
"[3, 2, 1, 3, 1, 1, 1, 1, 1]","[0.20751874963942185, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0, 1.0, 1.0]",2.084962500721156,6.915037499278844,13.830074998557688,9,6,0.7075187496394219,1.4150374992788437,1.207518749639422,2.415037499278844,2.0,4.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,22,0,1,2,2,2,3,12052,16
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12053,17
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12053,17
"[3, 3, 1, 2, 1, 3, 1, 1, 1]","[0.20751874963942185, 0.20751874963942185, 1.0, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",2.8774437510817346,6.122556248918266,12.245112497836532,9,5,0.4150374992788437,0.8300749985576875,1.5,3.0,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,20,0,1,2,2,2,3,12053,17
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12054,18
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12054,18
"[2, 1, 1, 2, 1, 3, 1, 1, 1]","[0.5, 1.0, 1.0, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",1.792481250360578,7.207518749639422,14.415037499278844,9,6,1.5,3.0,1.5,3.0,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,23,0,1,2,2,2,3,12054,18
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12055,19
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12055,19
"[2, 3, 1, 2, 1, 4, 1, 1, 1]","[0.5, 0.20751874963942185, 1.0, 0.5, 1.0, 0.0, 1.0, 1.0, 1.0]",2.792481250360578,6.207518749639422,12.415037499278844,8,5,0.7075187496394219,1.4150374992788437,1.5,3.0,1.0,2.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,20,0,1,2,2,2,3,12055,19
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12056,20
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12056,20
"[2, 1, 1, 2, 1, 2, 1, 1, 1]","[0.5, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",1.5,7.5,15.0,9,6,1.5,3.0,1.5,3.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,24,0,1,2,2,2,3,12056,20
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12057,21
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12057,21
"[3, 2, 1, 2, 1, 2, 1, 1, 1]","[0.20751874963942185, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,0.7075187496394219,1.4150374992788437,1.5,3.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,21,1,2,2,2,2,3,12057,21
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12058,22
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12058,22
"[2, 2, 1, 1, 1, 2, 1, 1, 1]","[0.5, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]",1.5,7.5,15.0,9,6,1.0,2.0,2.0,4.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,24,0,1,2,2,2,3,12058,22
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12059,23
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12059,23
"[3, 3, 1, 2, 1, 2, 1, 1, 1]","[0.20751874963942185, 0.20751874963942185, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.584962500721156,6.415037499278844,12.830074998557688,9,5,0.4150374992788437,0.8300749985576875,1.5,3.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,21,0,1,2,2,2,3,12059,23
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12060,24
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12060,24
"[2, 2, 1, 2, 1, 3, 1, 1, 1]","[0.5, 0.5, 1.0, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,1.0,2.0,1.5,3.0,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,22,0,1,2,2,2,3,12060,24
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12061,25
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12061,25
"[2, 2, 1, 1, 1, 2, 1, 1, 1]","[0.5, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]",1.5,7.5,15.0,9,6,1.0,2.0,2.0,4.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,23,1,2,2,2,2,3,12061,25
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12062,26
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12062,26
"[2, 2, 1, 3, 1, 2, 1, 1, 1]","[0.5, 0.5, 1.0, 0.20751874963942185, 1.0, 0.5, 1.0, 1.0, 1.0]",2.292481250360578,6.707518749639422,13.415037499278844,9,5,1.0,2.0,1.207518749639422,2.415037499278844,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,22,0,1,2,2,2,3,12062,26
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12063,27
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12063,27
"[3, 3, 1, 2, 1, 3, 1, 1, 1]","[0.20751874963942185, 0.20751874963942185, 1.0, 0.5, 1.0, 0.20751874963942185, 1.0, 1.0, 1.0]",2.8774437510817346,6.122556248918266,12.245112497836532,9,5,0.4150374992788437,0.8300749985576875,1.5,3.0,1.207518749639422,2.415037499278844,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,20,0,1,2,2,2,3,12063,27
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12064,28
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12064,28
"[2, 2, 1, 2, 1, 1, 1, 1, 1]","[0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]",1.5,7.5,15.0,9,6,1.0,2.0,1.5,3.0,2.0,4.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,24,0,1,2,2,2,3,12064,28
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12065,29
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12065,29
